#
# ROI IR statistics timeseries for blackrockforest
#
# Site: blackrockforest
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 41.3974
# Lon: -74.0239
# Elev: 427
# UTC Offset: -5
# Resize Flag: False
# Version: 1
# Creation Date: 2020-07-24
# Creation Time: 11:53:06
# Update Date: 2020-07-27
# Update Time: 08:27:46
#
date,local_std_time,doy,filename,solar_elev,exposure,awbflag,mask_index,ir_mean,ir_std,ir_5_qtl,ir_10_qtl,ir_25_qtl,ir_50_qtl,ir_75_qtl,ir_90_qtl,ir_95_qtl
2020-05-30,15:48:06,151,blackrockforest_IR_2020_05_30_154806.jpg,37.58868,11,0,1,101.52445,49.20346,22,40,68,99,133,166,188
2020-05-30,16:18:05,151,blackrockforest_IR_2020_05_30_161805.jpg,31.97457,15,0,1,124.60925,54.73714,37,57,88,120,159,200,225
2020-05-30,16:48:05,151,blackrockforest_IR_2020_05_30_164805.jpg,26.37620,42,0,1,97.04292,38.24951,31,46,71,99,123,145,158
2020-05-30,17:18:06,151,blackrockforest_IR_2020_05_30_171806.jpg,20.83189,69,0,1,93.50246,37.82757,27,42,68,96,120,140,153
2020-05-30,17:48:05,151,blackrockforest_IR_2020_05_30_174805.jpg,15.38816,223,0,1,88.76358,37.02021,23,38,64,91,115,135,147
2020-05-30,18:18:05,151,blackrockforest_IR_2020_05_30_181805.jpg,10.07654,168,0,1,95.75553,38.08742,30,45,70,98,122,143,156
2020-05-30,18:48:05,151,blackrockforest_IR_2020_05_30_184805.jpg,4.97118,1012,0,1,86.40458,37.64530,22,36,61,87,112,134,148
2020-05-30,19:18:05,151,blackrockforest_IR_2020_05_30_191805.jpg,0.32450,1311,0,1,85.03775,37.26091,22,36,60,85,109,131,146
2020-05-31,04:48:05,152,blackrockforest_IR_2020_05_31_044805.jpg,3.14199,43,0,1,104.46236,59.16546,24,36,59,95,142,190,221
2020-05-31,05:18:05,152,blackrockforest_IR_2020_05_31_051805.jpg,8.13164,25,0,1,108.82544,59.72332,23,38,64,101,147,195,225
2020-05-31,05:48:05,152,blackrockforest_IR_2020_05_31_054805.jpg,13.37733,18,0,1,104.01156,54.39690,25,40,64,97,138,179,206
2020-05-31,06:18:05,152,blackrockforest_IR_2020_05_31_061805.jpg,18.78064,16,0,1,106.88521,53.20560,29,44,68,100,140,180,207
2020-05-31,06:48:05,152,blackrockforest_IR_2020_05_31_064805.jpg,24.29255,14,0,1,105.04237,50.70909,29,46,69,99,136,174,198
2020-05-31,07:18:05,152,blackrockforest_IR_2020_05_31_071805.jpg,29.87606,14,0,1,108.28073,53.34163,26,45,71,103,141,181,207
2020-05-31,07:48:05,152,blackrockforest_IR_2020_05_31_074805.jpg,35.49403,12,0,1,102.15074,50.83361,23,41,67,97,133,170,195
2020-05-31,08:18:05,152,blackrockforest_IR_2020_05_31_081805.jpg,41.10545,12,0,1,107.07144,52.76299,23,43,71,102,139,178,204
2020-05-31,08:48:05,152,blackrockforest_IR_2020_05_31_084805.jpg,46.65963,10,0,1,100.94403,48.88636,22,41,68,97,131,166,188
2020-05-31,09:18:06,152,blackrockforest_IR_2020_05_31_091806.jpg,52.09009,10,0,1,106.85023,48.28067,27,47,75,105,137,170,191
2020-05-31,09:48:05,152,blackrockforest_IR_2020_05_31_094805.jpg,57.28397,8,0,1,103.16496,48.37021,23,43,71,100,134,167,188
2020-05-31,10:18:05,152,blackrockforest_IR_2020_05_31_101805.jpg,62.08366,10,0,1,130.19806,53.02403,45,65,94,127,165,203,226
2020-05-31,10:48:05,152,blackrockforest_IR_2020_05_31_104805.jpg,66.21140,8,0,1,101.25347,48.42898,22,41,68,98,133,166,186
2020-05-31,11:18:05,152,blackrockforest_IR_2020_05_31_111805.jpg,69.23553,14,0,1,103.47821,46.41482,27,45,72,102,133,165,185
2020-05-31,11:48:05,152,blackrockforest_IR_2020_05_31_114805.jpg,70.61466,8,0,1,105.18178,48.98077,25,44,71,103,138,171,190
2020-05-31,12:18:05,152,blackrockforest_IR_2020_05_31_121805.jpg,69.99874,9,0,1,73.68628,34.53678,20,31,50,71,96,121,136
2020-05-31,12:48:05,152,blackrockforest_IR_2020_05_31_124805.jpg,67.55422,8,0,1,113.92774,49.82941,35,52,79,111,147,181,201
2020-05-31,13:18:05,152,blackrockforest_IR_2020_05_31_131805.jpg,63.79783,8,0,1,109.94180,46.40889,38,54,79,107,138,171,192
2020-05-31,13:48:05,152,blackrockforest_IR_2020_05_31_134805.jpg,59.22127,12,0,1,117.93751,51.08441,40,57,84,114,147,186,217
2020-05-31,14:18:05,152,blackrockforest_IR_2020_05_31_141805.jpg,54.15656,16,0,1,88.86467,37.28664,23,39,64,90,114,135,148
2020-05-31,14:48:05,152,blackrockforest_IR_2020_05_31_144805.jpg,48.80609,8,0,1,96.77638,45.43401,22,40,65,95,127,157,175
2020-05-31,15:18:05,152,blackrockforest_IR_2020_05_31_151805.jpg,43.29406,12,0,1,96.11553,45.76451,23,40,65,93,125,157,177
2020-05-31,15:48:05,152,blackrockforest_IR_2020_05_31_154805.jpg,37.70101,12,0,1,121.65419,51.21265,43,60,86,117,155,191,215
2020-05-31,16:18:06,152,blackrockforest_IR_2020_05_31_161806.jpg,32.08052,12,0,1,101.12219,49.62196,23,40,67,98,132,167,190
2020-05-31,16:48:05,152,blackrockforest_IR_2020_05_31_164805.jpg,26.48597,13,0,1,98.55150,51.34593,18,35,62,95,131,167,191
2020-05-31,17:18:05,152,blackrockforest_IR_2020_05_31_171805.jpg,20.94609,16,0,1,93.63280,51.83083,15,30,56,89,125,164,189
2020-05-31,17:48:05,152,blackrockforest_IR_2020_05_31_174805.jpg,15.50127,20,0,1,88.42548,52.54796,14,27,50,81,119,161,188
2020-05-31,18:18:05,152,blackrockforest_IR_2020_05_31_181805.jpg,10.19163,30,0,1,81.10925,54.22928,12,23,43,69,108,157,193
2020-05-31,18:48:05,152,blackrockforest_IR_2020_05_31_184805.jpg,5.08718,65,0,1,73.70945,53.34634,13,22,38,61,93,145,190
2020-05-31,19:18:05,152,blackrockforest_IR_2020_05_31_191805.jpg,0.42877,494,0,1,82.33070,42.66442,19,32,54,79,105,132,153
2020-06-01,04:48:06,153,blackrockforest_IR_2020_06_01_044806.jpg,3.20952,45,0,1,103.82677,59.37553,24,36,58,93,140,190,223
2020-06-01,05:18:05,153,blackrockforest_IR_2020_06_01_051805.jpg,8.19369,25,0,1,107.46921,59.46714,22,37,63,99,145,193,225
2020-06-01,05:48:05,153,blackrockforest_IR_2020_06_01_054805.jpg,13.43544,19,0,1,109.47856,56.98410,27,42,67,102,145,190,219
2020-06-01,06:18:05,153,blackrockforest_IR_2020_06_01_061805.jpg,18.83530,16,0,1,106.29383,52.91570,29,44,68,100,138,179,206
2020-06-01,06:48:05,153,blackrockforest_IR_2020_06_01_064805.jpg,24.34458,23,0,1,91.28909,42.37524,23,40,63,89,117,146,166
2020-06-01,07:18:05,153,blackrockforest_IR_2020_06_01_071805.jpg,29.92643,12,0,1,111.71759,51.89036,29,49,77,107,143,181,207
2020-06-01,07:48:05,153,blackrockforest_IR_2020_06_01_074805.jpg,35.54387,12,0,1,104.12878,51.16057,24,43,69,99,135,173,199
2020-06-01,08:18:05,153,blackrockforest_IR_2020_06_01_081805.jpg,41.15613,18,0,1,106.39238,40.29018,35,52,80,109,133,156,170
2020-06-01,08:48:05,153,blackrockforest_IR_2020_06_01_084805.jpg,46.71289,10,0,1,81.69453,34.29603,20,35,60,83,104,124,136
2020-06-01,09:18:05,153,blackrockforest_IR_2020_06_01_091805.jpg,52.14524,9,0,1,119.39922,50.95815,37,57,86,116,151,188,211
2020-06-01,09:48:05,153,blackrockforest_IR_2020_06_01_094805.jpg,57.34996,10,0,1,109.61261,51.69833,27,47,74,106,142,179,203
